[20/09/2024 13:24:54] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[23/09/2024 0:35:56] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_buy], Params: [ 30041] 
[23/09/2024 0:49:17] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_heal], Params: [] 
[23/09/2024 1:43:02] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_heal], Params: [] 
[23/09/2024 1:43:42] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_heal], Params: [] 
[23/09/2024 1:44:16] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_heal], Params: [] 
[23/09/2024 1:50:00] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_heal], Params: [] 
[23/09/2024 21:53:37] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[23/09/2024 21:53:39] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[23/09/2024 21:53:40] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[23/09/2024 21:53:41] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[23/09/2024 21:53:43] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ 79681 150641 -3524] 
[23/09/2024 21:55:52] --> GM: Odin [268477776], Target: [Radia], Action: [admin_admin], Params: [] 
[23/09/2024 21:55:54] --> GM: Odin [268477776], Target: [Radia], Action: [admin_move_to], Params: [] 
[23/09/2024 21:55:54] --> GM: Odin [268477776], Target: [Radia], Action: [admin_admin], Params: [] 
[23/09/2024 21:55:58] --> GM: Odin [268477776], Target: [Radia], Action: [admin_admin2], Params: [] 
[23/09/2024 21:55:59] --> GM: Odin [268477776], Target: [Radia], Action: [admin_show_characters], Params: [ 0] 
[23/09/2024 21:56:00] --> GM: Odin [268477776], Target: [Radia], Action: [admin_character_info], Params: [ Yokohama] 
[23/09/2024 21:56:01] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_goto_char_menu], Params: [ Yokohama] 
[23/09/2024 21:56:58] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[23/09/2024 21:56:59] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[23/09/2024 21:57:00] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[23/09/2024 21:57:02] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Lindurita] 
[23/09/2024 21:57:03] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_goto_char_menu], Params: [ Lindurita] 
[23/09/2024 22:06:10] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[23/09/2024 22:06:11] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[23/09/2024 22:06:12] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[23/09/2024 22:06:13] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Yokohama] 
[23/09/2024 22:06:15] --> GM: Odin [268477776], Target: [Yokohama], Action: [admin_recall_char_menu], Params: [ Yokohama] 
[24/09/2024 18:30:53] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[24/09/2024 18:30:54] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[24/09/2024 18:30:56] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[24/09/2024 18:30:57] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Irina] 
[24/09/2024 18:30:58] --> GM: Odin [268477776], Target: [Irina], Action: [admin_goto_char_menu], Params: [ Irina] 
[24/09/2024 18:31:01] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[24/09/2024 18:31:02] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[24/09/2024 18:31:04] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Irina] 
[24/09/2024 18:31:06] --> GM: Odin [268477776], Target: [Irina], Action: [admin_add_exp_sp_to_character], Params: [] 
[24/09/2024 18:31:09] --> GM: Odin [268477776], Target: [Irina], Action: [admin_set_level], Params: [ 20] 
[24/09/2024 18:31:40] --> GM: Odin [268477776], Target: [Irina], Action: [admin_admin], Params: [] 
[24/09/2024 18:31:44] --> GM: Odin [268477776], Target: [Irina], Action: [admin_admin2], Params: [] 
[24/09/2024 18:31:45] --> GM: Odin [268477776], Target: [Irina], Action: [admin_show_characters], Params: [ 0] 
[24/09/2024 18:31:46] --> GM: Odin [268477776], Target: [Irina], Action: [admin_character_info], Params: [ Irina] 
[24/09/2024 18:31:47] --> GM: Odin [268477776], Target: [Irina], Action: [admin_add_exp_sp_to_character], Params: [] 
[24/09/2024 18:31:52] --> GM: Odin [268477776], Target: [Irina], Action: [admin_add_exp_sp], Params: [ 1 50000] 
[24/09/2024 19:23:18] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[24/09/2024 19:23:20] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[24/09/2024 19:23:21] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[24/09/2024 19:23:22] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ RaquelEugenio] 
[24/09/2024 19:23:23] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_goto_char_menu], Params: [ RaquelEugenio] 
[24/09/2024 19:23:33] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_admin], Params: [] 
[24/09/2024 19:23:34] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_admin2], Params: [] 
[24/09/2024 19:23:35] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_show_characters], Params: [ 0] 
[24/09/2024 19:23:36] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_character_info], Params: [ RaquelEugenio] 
[24/09/2024 19:23:38] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_add_exp_sp_to_character], Params: [] 
[24/09/2024 19:23:43] --> GM: Odin [268477776], Target: [RaquelEugenio], Action: [admin_add_exp_sp], Params: [ 1 50000] 
[26/09/2024 23:33:13] --> GM: Odin [268477776], Target: [Odin], Action: [admin_admin], Params: [] 
[26/09/2024 23:33:14] --> GM: Odin [268477776], Target: [Odin], Action: [admin_admin2], Params: [] 
[26/09/2024 23:33:15] --> GM: Odin [268477776], Target: [Odin], Action: [admin_show_characters], Params: [ 0] 
[26/09/2024 23:33:16] --> GM: Odin [268477776], Target: [Odin], Action: [admin_character_info], Params: [ Odin] 
[26/09/2024 23:33:17] --> GM: Odin [268477776], Target: [Odin], Action: [admin_add_exp_sp_to_character], Params: [] 
[26/09/2024 23:33:25] --> GM: Odin [268477776], Target: [Odin], Action: [admin_add_exp_sp], Params: [ 1 1000000] 
[27/09/2024 0:19:49] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[27/09/2024 0:19:50] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[27/09/2024 0:19:51] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[27/09/2024 0:19:54] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[27/09/2024 0:19:55] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[27/09/2024 0:19:56] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[27/09/2024 0:19:57] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[27/09/2024 0:19:58] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[27/09/2024 0:26:27] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_admin], Params: [] 
[27/09/2024 0:26:28] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_admin2], Params: [] 
[27/09/2024 0:26:29] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_show_characters], Params: [ 0] 
